,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
light,0,0,0,0,1,0,0,0
heat,0,0,0,0,0,0,0,0
microscope,0,0,0,0,0,0,0,1
disease,1,0,1,1,0,1,0,0
plot,0,0,0,0,0,0,0,0
probability,0,1,0,0,0,0,0,0
chromosome,0,0,0,0,0,0,0,0
axis,0,0,0,0,0,0,0,0
break,0,0,0,0,0,0,1,0
believe,0,0,0,0,0,0,0,0
contemplation,0,1,0,0,0,0,0,0
effort,0,0,0,0,0,0,0,0
nausea,0,0,1,1,0,0,0,0
struggle,1,0,0,1,0,1,0,0
chaos,1,0,0,1,0,1,0,0
cloud,0,0,0,0,0,0,0,0
insect,0,0,0,0,0,0,0,0
cognition,0,0,0,0,0,0,0,0
ecosystem,0,0,0,0,0,0,0,0
biologist,0,0,0,0,0,0,0,0
movement,0,0,0,0,0,0,0,0
cell,0,0,0,0,0,0,0,0
ice,0,0,0,0,0,0,0,0
sublimation,0,0,0,0,1,0,0,0
paradox,0,0,0,0,0,0,0,0
snow,0,0,0,0,0,0,0,0
flow,0,0,0,0,0,0,0,0
condensation,0,0,0,0,0,0,0,0
dilemma,0,0,0,0,0,0,0,0
fire,0,0,0,1,0,0,0,0
follow,0,0,0,0,0,0,0,1
kids,0,0,0,0,1,0,0,0
cleaning,0,0,0,0,1,0,0,1
connections,0,0,0,0,0,0,0,0
derive,0,0,0,0,0,0,0,0
drink,0,0,0,0,0,0,0,0
droplet,0,0,0,0,0,0,0,0
fresh,0,0,0,0,0,0,0,0
river,0,0,0,0,0,0,0,0
wave,0,0,0,0,0,0,0,0
electricity,0,0,0,0,0,0,0,0
market,0,0,0,0,0,0,0,0
metric,0,0,0,0,0,0,0,0
travel,0,0,0,0,1,0,0,1
rock,0,0,0,0,0,0,0,0
state,0,0,0,0,0,0,0,0
hard,0,0,0,0,0,0,0,0
minimum,0,0,0,0,0,0,0,0
coffee,0,0,0,0,1,0,0,0
background,0,0,0,0,0,0,0,0
block,0,0,0,0,0,0,0,0
fluid,0,0,0,0,0,0,0,0
lattice,0,0,0,0,0,0,0,0
matter,0,0,0,0,0,0,0,1
mind,0,0,0,0,0,0,0,0
vapor,0,0,0,0,0,0,0,0
proton,0,0,0,0,0,0,0,0
bad,1,0,1,1,0,1,0,0
withdraw,0,0,0,0,0,1,0,0
success,0,1,0,0,1,0,0,0
debugging,0,0,0,0,0,0,0,0
fault,0,0,0,0,0,1,0,0
nasa,0,0,0,0,0,0,0,0
no,0,0,0,0,0,0,0,0
sad,0,0,0,0,0,1,0,0
win,0,0,0,0,1,0,0,0
winner,0,1,0,0,1,0,1,0
application,0,0,0,0,0,0,0,0
course,0,0,0,0,0,0,0,0
learning,0,0,0,0,0,0,0,0
lecture,0,0,0,0,0,0,0,0
program,0,0,0,0,0,0,0,0
technology,0,0,0,0,0,0,0,0
word,0,0,0,0,0,0,0,1
schema,0,0,0,0,0,0,0,0
vita,0,0,0,0,0,0,0,0
vitae,0,0,0,0,0,0,0,0
food,0,0,0,0,1,0,0,1
fat,0,0,1,0,0,1,0,0
cool,0,0,0,0,0,0,0,0
influence,0,0,0,0,0,0,0,0
conjecture,0,1,0,0,0,0,0,0
intelligence,0,0,0,1,1,0,0,1
thinking,0,0,0,0,0,0,0,0
neurons,0,0,0,0,0,0,0,0
heart,0,0,0,0,1,0,0,0
suggestion,0,0,0,0,0,0,0,0
lemma,0,0,0,0,0,0,0,0
synapsis,0,0,0,0,0,0,0,0
beer,0,0,0,0,1,0,0,0
activity,0,0,0,0,0,0,0,0
needed,0,0,0,0,0,0,0,0
neuroscience,0,0,0,0,0,0,0,0
organ,0,1,0,0,1,0,0,0
pink,0,0,0,0,0,0,0,0
queen,0,0,0,0,0,0,0,0
scarce,0,0,0,1,0,1,0,0
problem,0,0,0,1,0,1,0,0
boolean,0,0,0,0,0,0,0,0
collective,0,0,0,0,0,0,0,0
difficult,0,0,0,1,0,0,0,0
earth,0,0,0,0,0,0,0,0
economy,0,0,0,0,0,0,0,1
everywhere,0,0,0,0,0,0,0,0
feedback,0,0,0,0,0,0,0,0
flock,0,0,0,0,0,0,0,0
heterogeneity,0,0,0,0,0,0,0,0
integer,0,0,0,0,0,0,0,0
non-linear,0,0,0,0,0,0,0,0
number,0,0,0,0,0,0,0,0
place,0,0,0,0,0,0,0,0
quantum,0,0,0,0,0,0,0,0
truth,0,0,0,0,0,0,0,1
epidemics,1,1,1,1,0,1,1,0
experimenting,0,1,0,0,0,0,1,0
greeks,0,0,0,0,0,0,0,0
job,0,0,0,0,0,0,0,0
spike,0,0,0,1,0,0,0,0
mathematical,0,0,0,0,0,0,0,1
abstract,0,0,0,0,0,0,0,0
approximation,0,0,0,0,0,0,0,0
constant,0,0,0,0,0,0,0,1
agent,0,0,0,0,0,0,0,0
laboratory,0,0,0,0,0,0,0,0
lake,0,0,0,0,0,0,0,0
catwalk,0,0,0,0,0,0,0,0
photo,0,0,0,0,0,0,0,0
representation,0,0,0,0,0,0,0,0
telescope,0,0,0,0,0,0,0,0
trial,0,0,0,0,0,0,0,0
person,0,0,0,0,0,0,0,0
primary,0,0,0,0,0,0,0,0
report,0,0,0,0,0,0,0,0
concept,0,0,0,0,0,0,0,0
theorem,0,0,0,0,0,0,0,1
game,0,0,0,0,0,0,0,0
code,0,0,0,0,0,0,0,0
control,0,0,0,0,0,0,0,0
electromagnetism,0,0,0,0,0,0,0,0
gym,0,0,0,0,0,0,0,0
melt,0,0,0,0,0,0,0,0
relativity,0,0,0,0,0,0,0,0
media,0,0,0,0,0,0,0,0
practice,0,0,0,0,0,0,0,0
proof,0,0,0,0,0,0,0,1
take,0,0,0,0,0,0,0,0
television,0,0,0,0,0,0,0,0
white,0,1,0,0,1,0,0,1
unpredictable,0,0,0,0,0,0,1,0
predator,0,0,0,0,0,0,0,0
publication,0,0,0,0,0,0,0,0
cat,0,0,0,0,0,0,0,0
church,0,1,0,0,1,0,0,1
vast,0,0,0,0,0,0,0,0
victim,1,0,0,1,0,1,0,0
matrix,0,0,0,0,0,0,0,0
architect,0,0,0,0,0,0,0,0
traffic,0,0,0,0,0,0,0,0
equation,0,0,0,0,0,0,0,0
plane,0,0,0,0,0,0,0,0
polygon,0,0,0,0,0,0,0,0
medicine,0,0,0,0,0,0,0,0
root,0,0,0,0,0,0,0,0
doctor,0,0,0,0,0,0,0,1
gamma,0,0,0,0,0,0,0,0
father,0,0,0,0,0,0,0,1
galois,0,0,0,0,0,0,0,0
magician,0,0,0,0,0,0,1,0
weird,0,0,1,0,0,0,0,0
skeleton,0,0,0,0,0,0,0,0
data,0,0,0,0,0,0,0,0
regression,0,0,0,0,0,0,0,0
integral,0,0,0,0,0,0,0,0
derivative,0,0,0,0,0,0,0,0
numerical,0,0,0,0,0,0,0,0
analytic,0,0,0,0,0,0,0,0
evaluate,0,0,0,0,0,0,0,0
exploratory,0,0,0,0,0,0,0,0
fourier,0,0,0,0,0,0,0,0
limit,0,0,0,0,0,0,0,0
recreate,0,0,0,0,0,0,0,0
technical,0,0,0,0,0,0,0,0
think,0,0,0,0,0,0,0,0
gene,0,0,0,0,0,0,0,0
college,0,0,0,0,0,0,0,0
bio,0,0,0,0,0,0,0,0
biophysics,0,0,0,0,0,0,0,0
connection,0,0,0,0,0,0,0,0
genetics,0,0,0,0,0,0,0,0
helix,0,0,0,0,0,0,0,0
protein,0,0,0,0,0,0,0,0
rna,0,0,0,0,0,0,0,0
shape,0,0,0,0,0,0,0,0
discharge,0,0,0,0,0,0,0,0
expert,0,0,0,0,0,0,0,1
methods,0,0,0,0,0,0,0,0
nonlinearity,0,0,0,0,0,0,0,0
polynomial,0,0,0,0,0,0,0,0
conquer,0,0,0,1,0,0,0,1
extension,0,0,0,0,0,0,0,0
search,0,0,0,0,0,0,0,0
disposition,0,0,0,0,0,0,0,0
syllabus,0,0,0,0,0,0,0,0
graduate,0,0,0,0,0,0,0,0
illusion,0,0,0,0,0,0,1,0
space,0,0,0,0,0,0,0,0
climate,0,0,0,0,0,0,0,0
infinite,0,0,0,0,0,0,0,0
netherlands,0,0,0,0,0,0,0,0
orbit,0,0,0,0,0,0,0,0
phasic,0,0,0,0,0,0,0,0
wheels,0,0,0,0,0,0,0,0
kg,0,0,0,0,0,0,0,0
geometry,0,0,0,0,0,0,0,0
logistics,0,0,0,0,0,0,0,0
useful,0,0,0,0,0,0,0,0
saddle,0,0,0,0,0,0,0,0
sentence,1,1,1,1,0,1,0,0
english,0,0,0,0,0,0,0,0
psychology,0,0,0,0,0,0,0,0
electron,0,0,0,0,0,0,0,0
foreign,0,0,0,0,0,0,0,0
grammar,0,0,0,0,0,0,0,1
italian,0,0,0,0,0,0,0,0
native,0,0,0,0,0,0,0,0
polish,0,0,0,0,0,0,0,0
programming,0,0,0,0,0,0,0,0
automata,0,0,0,0,0,0,0,0
variance,0,0,0,0,0,0,0,0
attirance,0,0,0,0,0,0,0,0
basin,0,0,0,0,0,0,0,0
chaotic,1,0,0,0,0,0,0,0
coarse,0,0,0,0,0,0,0,0
common,0,0,0,0,0,0,0,0
defector,0,0,0,0,0,0,0,0
magnetic,0,0,0,0,0,0,0,1
neural,0,0,0,0,0,0,0,0
solution,0,0,0,0,0,0,0,0
figure,0,0,0,0,0,0,0,0
line,0,0,0,0,0,0,0,0
trend,0,0,0,0,0,0,0,0
demanding,1,0,0,0,0,0,0,0
net,0,0,0,0,0,0,0,0
selfish,1,0,1,0,0,0,0,0
transport,0,0,0,0,0,0,0,0
eigenvector,0,0,0,0,0,0,0,0
authority,0,0,0,0,0,0,0,1
google,0,0,0,0,0,0,0,0
many,0,0,0,0,0,0,0,0
router,0,0,0,0,0,0,0,0
scale-free,0,0,0,0,1,0,0,0
start,0,1,0,0,0,0,1,0
station,0,0,0,0,0,0,0,0
linked,0,0,0,0,0,0,0,0
rate,0,0,0,0,0,0,0,0
green,0,0,0,0,1,0,0,1
internet,0,0,0,0,0,0,0,0
teaching,0,0,0,0,1,0,1,1
pattern,0,0,0,0,0,0,0,0
reality,0,0,0,0,0,0,0,0
increase,0,0,0,0,0,0,0,0
unit,0,0,0,0,0,0,0,0
arc,0,0,0,0,0,0,0,0
feature,0,0,0,0,0,0,0,0
ants,0,0,0,0,0,0,0,0
circle,0,0,0,0,0,0,0,1
muscle,0,0,0,0,0,0,0,0
tree,1,1,1,0,1,0,1,1
abm,0,0,0,0,0,0,0,0
feynmann,0,0,0,0,0,0,0,0
for,0,0,0,0,0,0,0,0
motif,0,0,0,0,0,0,0,0
regulation,0,0,0,0,0,0,0,0
transistor,0,0,0,0,0,0,0,0
change,0,0,0,1,0,0,0,0
layer,0,0,0,0,0,0,0,0
unknown,0,1,0,1,0,0,0,0
curve,0,0,0,0,0,0,0,0
letter,0,1,0,0,0,0,0,0
education,0,0,0,0,0,0,0,0
measure,0,0,0,0,0,0,0,1
specialisation,0,0,0,0,0,0,0,0
centrality,0,0,0,0,0,0,0,0
distribution,0,0,0,0,0,0,0,0
freeform,0,0,0,0,0,0,0,0
k,0,0,0,0,0,0,0,0
undergraduate,0,0,0,0,0,0,0,0
real,0,0,0,0,0,0,0,1
reasoning,0,0,0,0,0,0,0,0
depth,0,0,0,0,0,0,0,1
flower,0,0,0,0,0,0,0,0
vapour,0,0,0,0,0,0,0,0
vertex,0,0,0,0,0,0,0,0
black,0,0,0,0,0,1,0,0
abyss,0,0,0,1,0,1,0,0
bury,0,0,0,0,0,1,0,0
dig,0,0,0,0,0,0,0,0
rabbit,0,0,0,0,0,0,0,0
repair,0,0,0,0,0,0,0,0
stay,0,0,0,0,0,0,0,0
void,0,0,0,0,0,0,0,0
organic,0,0,0,0,0,0,0,0
recycle,0,0,0,0,0,0,0,0
geography,0,0,0,0,0,0,0,0
instrument,0,0,0,0,0,0,0,0
ballon,0,0,0,0,0,0,0,0
mozart,0,0,0,0,0,0,0,0
mechanism,0,0,0,0,0,0,0,0
activities,0,0,0,0,0,0,0,0
capital,0,0,0,0,0,0,0,0
laptop,0,0,0,0,0,0,0,0
machine,0,0,0,0,0,0,0,1
hammer,0,0,0,0,0,0,0,0
access,0,0,0,0,0,0,0,0
box,0,0,0,0,0,0,0,0
screwdriver,0,0,0,0,0,0,0,0
magnitude,0,0,0,0,0,0,0,0
size,0,0,0,0,0,0,0,0
spatial,0,0,0,0,0,0,0,0
abstraction,0,0,0,0,0,0,0,0
actor,0,0,0,0,0,0,0,0
architecture,0,0,0,0,0,0,0,1
artist,0,0,0,0,0,0,0,0
beauty,0,0,0,0,1,0,0,0
carbon,0,0,0,0,0,0,0,0
classical,0,0,0,0,0,0,0,0
clay,0,0,0,0,0,0,0,0
creative,0,0,0,0,0,0,0,0
da,0,0,0,0,0,0,0,0
drawing,0,0,0,0,0,0,0,0
energy,0,0,0,0,1,0,0,0
everything,0,0,0,0,0,0,0,0
expo,0,0,0,0,0,0,0,0
fine,0,0,0,0,0,0,0,0
glacier,0,0,0,0,0,0,0,0
glory,0,1,0,0,1,0,0,1
humanities,0,0,0,0,1,0,0,1
inspiration,0,1,0,0,1,0,0,1
modern,0,0,0,0,0,0,0,0
movie,0,0,0,0,0,0,0,0
museum,0,0,0,0,0,0,0,0
music,0,0,0,0,1,1,0,0
painting,0,0,0,0,0,0,0,0
paper,0,0,0,0,0,0,0,0
persuasion,0,0,0,0,0,0,0,0
piece,0,0,0,0,0,0,0,0
pleasing,0,0,0,0,1,0,0,0
relax,0,0,0,0,1,0,0,0
sculpture,0,0,0,0,0,0,0,0
statue,0,0,0,0,0,0,0,0
statute,0,0,0,0,0,0,0,0
designer,0,0,0,0,0,0,0,0
draw,0,0,0,0,0,0,0,0
biosphere,0,0,0,0,0,0,0,0
coefficient,0,0,0,0,0,0,0,0
lower,0,0,0,0,0,0,0,0
neutron,0,0,0,0,0,0,0,0
origin,0,0,0,0,0,0,0,0
postulate,0,0,0,0,0,0,0,0
upper,0,0,0,0,0,0,0,0
fate,0,1,0,0,0,0,0,1
fungus,0,0,1,0,0,0,0,0
meiosis,0,0,0,0,0,0,0,0
organism,0,0,0,0,0,0,0,0
parasite,0,0,1,1,0,0,0,0
selection,0,0,0,0,0,0,0,0
teacher,0,0,0,0,0,0,0,1
chemicals,0,0,0,0,0,0,0,0
acid,0,0,0,0,0,0,0,0
atom,0,0,0,0,0,0,0,0
base,0,0,0,0,0,0,0,1
breaking,0,0,0,0,0,0,0,0
chemical,0,0,0,0,0,0,0,0
drug,0,0,0,0,0,0,0,0
messy,0,0,1,0,0,0,0,0
n,0,0,0,0,0,0,0,0
ph,0,0,0,0,0,0,0,0
pharmacy,0,0,0,0,0,0,0,0
reaction,0,0,0,0,0,0,0,0
redox,0,0,0,0,0,0,0,0
robes,0,0,0,0,0,0,0,0
subject,0,0,0,0,0,0,0,0
methane,0,0,0,0,0,0,0,0
synthesise,0,0,0,0,0,0,0,0
calculate,0,0,0,0,0,0,0,0
friction,1,0,0,0,0,0,0,0
important,0,0,0,0,0,0,0,1
quiz,0,0,0,0,0,0,0,0
illness,0,0,0,1,0,1,0,0
obtain,0,0,0,0,0,0,0,0
population,0,0,0,0,0,0,0,0
process,0,0,0,0,0,0,0,0
programme,0,0,0,0,0,0,0,0
simulate,0,0,0,0,0,0,0,0
spread,0,0,0,0,0,0,0,0
abscission,0,0,0,0,0,0,0,0
bureaucracy,0,0,0,0,0,0,0,1
collaboration,0,0,0,0,0,0,0,0
friends,0,0,0,0,1,0,0,1
together,0,0,0,0,1,0,0,0
party,0,0,0,0,1,0,0,0
poster,0,0,0,0,0,0,0,0
presentation,0,0,0,0,0,0,0,0
sports,0,0,0,0,0,0,0,0
student,0,0,0,0,0,0,0,0
talk,0,0,0,0,0,0,0,0
talks,0,0,0,0,0,0,0,0
training,0,0,0,0,0,0,0,0
workshop,0,0,0,0,0,0,0,0
wwcs,0,0,0,0,0,0,0,0
wwcs2017,0,0,0,0,0,0,0,0
journey,0,1,0,1,1,0,0,0
mad,1,0,1,1,0,1,0,0
sky,0,0,0,0,0,0,0,0
clear,0,0,0,0,0,0,0,0
differential,0,0,0,0,0,0,0,1
probabilistic,0,0,0,0,0,0,0,0
stochasticity,0,0,0,0,0,0,0,0
wellbeing,0,0,0,0,0,0,0,0
adventure,0,1,0,0,1,0,0,0
bulb,0,0,0,0,0,0,0,0
channel,0,0,0,0,0,0,0,0
land,0,0,0,0,0,0,0,0
moon,0,0,0,0,0,0,0,0
nobel,0,0,0,0,0,0,0,0
urn,0,0,0,0,0,1,0,0
adaptation,0,0,0,0,0,0,0,0
adaptive,0,0,0,0,0,0,0,0
dynamic,0,0,0,0,0,0,1,0
experience,0,0,0,0,1,0,0,0
lineage,0,0,0,0,0,0,0,0
mutation,0,0,0,0,0,0,0,0
optimization,0,0,0,0,0,0,0,0
mars,0,0,0,0,0,0,0,0
justice,0,0,0,0,0,0,0,1
rights,0,0,0,0,0,0,0,0
showing,0,0,0,0,0,0,0,1
grass,0,0,0,0,0,0,0,0
idea,0,0,0,0,0,0,0,0
age,0,0,0,0,0,0,0,0
brian,0,0,0,0,0,0,0,0
dead,0,0,0,0,0,0,0,0
happiness,0,1,0,0,1,0,0,0
humans,0,0,0,0,0,0,0,0
interest,0,0,0,0,0,0,0,0
leaf,0,0,0,0,0,0,0,0
multi-scale,0,0,0,0,0,0,0,0
old,0,0,0,0,0,0,0,0
oxygen,0,0,0,0,0,0,0,0
pointless,0,0,0,0,0,1,0,0
reproduction,0,0,0,0,0,0,0,0
soil,0,0,1,0,0,0,0,0
world,0,0,0,0,0,0,0,0
element,0,0,0,0,0,0,0,0
algebra,0,0,0,0,0,0,0,0
blackboard,0,0,0,0,0,0,0,0
book,0,0,0,0,0,0,0,0
brackets,0,0,0,0,0,0,0,0
conceptual,0,0,0,0,0,0,0,0
crunching,1,0,0,0,0,0,0,0
discrete,0,0,0,0,0,0,0,0
epsilon,0,0,0,0,0,0,0,0
exercise,0,0,0,0,1,0,0,0
nice,0,0,0,0,0,0,0,0
partial,0,0,0,0,0,0,0,0
pi,0,0,0,0,0,0,0,0
pitagoras,0,0,0,0,0,0,0,0
smart,0,0,0,0,0,0,0,0
variable,0,0,0,0,0,0,1,0
study,0,0,0,0,0,0,0,0
animal,0,0,0,0,0,0,0,0
astro,0,0,0,0,0,0,0,0
future,0,0,0,0,0,0,0,0
galileo,0,0,0,0,0,0,0,0
interdisciplinary,0,0,0,0,0,0,0,0
mitosis,0,0,0,0,0,0,0,0
particle,0,0,0,0,0,0,0,0
principle,0,0,0,0,0,0,0,0
string,0,0,0,0,0,0,0,0
the,0,0,0,0,0,0,0,0
set,0,0,0,0,0,0,0,0
parameter,0,0,0,0,0,0,0,0
encourage,0,0,0,0,1,0,0,1
python,0,0,0,0,0,0,0,0
emotion,0,0,0,0,0,0,0,0
emotional,0,0,0,0,0,1,0,0
logic,0,0,0,0,0,0,0,0
objectif,0,0,0,0,0,0,0,0
scholar,0,0,0,0,0,0,0,0
children,0,1,0,0,1,0,0,0
economics,0,0,0,0,0,0,0,0
irrational,0,0,1,1,0,0,0,0
level,0,0,0,0,0,0,0,1
axon,0,0,0,0,0,0,0,0
ideal,0,0,0,0,0,0,0,0
phase,0,0,0,0,0,0,0,0
agreement,0,0,0,0,0,0,0,1
fish,0,0,0,0,0,0,0,0
grade,0,0,0,0,0,0,0,0
mark,0,0,0,0,0,0,0,0
professor,0,0,0,0,0,0,0,1
quality,0,0,0,0,0,0,0,0
expertise,0,0,0,0,0,0,0,1
biological,0,0,0,0,0,0,0,0
cosine,0,0,0,0,0,0,0,0
trigonometry,0,0,0,0,0,0,0,0
soap,0,0,0,0,0,0,0,0
histogram,0,0,0,0,0,0,0,0
